sport,name,startDate,address,municipality,guests
Basket,FESTIVAL LEGENDS BASKET 3X3,2024-10-12 10:30:00,"Piazza Fiera, Piazza di Fiera","Trento, TN","Marcella Filippi, Giacomo Galanda, Denis Marconato, Michele Mian, Kathrin Ress, Rodolfo Rombaldoni"
Basket,DEJAN BODIROGA: IL MIO BASKET TOTALE,2024-10-12 12:00:00,Palazzo della Regione,"Trento, TN",Dejan Bodiroga
Basket,AQUILA BASKET TRENTO MEET&GREET,2024-10-12 16:30:00,"Piazza Fiera, Piazza di Fiera","Trento, TN",
Basket,GIANMARCO POZZECCO: TIRO LIBERO,2024-10-12 18:00:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Gianmarco Pozzecco
Basket,"BEBE VIO GRANDIS PARIS, JE TAIME!",2024-10-13 10:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Vittoria Bianco, Giuliana Chiara Filippi, Alessandro Sbuelz, Elisa Spediacci, Bebe Vio Grandis"
Basket,GIOCA CON NOI: ALBATROSS E UNIPOL BRIANTEA84 CANT,2024-10-13 11:30:00,"Piazza Fiera, Piazza di Fiera","Trento, TN",
Basket,ANDRE IGUODALA: MONSIEUR NBA,2024-10-13 12:30:00,"Auditorium Santa Chiara, Via S. Croce 67","Trento, TN",Andre Iguodala
Calcio,"LIBRI DI SPORT: LA MIA VITA DA NUMERO 10
Libri di sport",2024-10-10 16:00:00,"Palazzo Geremia, Via Rodolfo Belenzani 20","Trento, TN","Evaristo Beccalossi, Eleonora Rossi"
Calcio,CESC FBREGAS IL GENIO SPAGNOLO,2024-10-10 17:30:00,"Filarmonica, Via Giuseppe Verdi 30","Trento, TN",Cesc Fàbregas
Calcio,ZONA CESARINI ITALIA-BELGIO NATIONS LEAGUE,2024-10-10 20:30:00,"Piazza Cesare Battisti, Piazza Cesare Battisti","Trento, TN",
Calcio,FOOTBALL BUSINESS FORUM KICK-OFF,2024-10-11 11:00:00,"Teatro Sociale, Via Paolo Oss-Mazzurana 19","Trento, TN","Alessandro Barnaba, Urbano Cairo, Stefano Caselli, Leonardo Nascimento de Araujo, Javier Tebas, Edwin Van Der Sar, André Villas-Boas"
