name,startDate,endDate,location,lat,lon,organization,guests
Trofeo del Borgo - XV edizione,08/06/24,09/06/24,Borgo Valsugana Via Gozzer 52,46.05069,11.46869,,
COLONIA ESTIVA SUMMER CMP,,,Via Ferme 38050 Roncegno Terme,46.045969,11.422242,Circolo Tennis Borgo e il Golf Club Roncegno,
