indirizzo,immagine,url,abstract_text,abstract,nome,lon,modifica,link,lat
"mercoledì 22 Dicembre 2021 dalle 20.45 alle 22.30 Sala Filarmonica - Corso Rosmini, 86 - 38068 Rovereto TN",https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/concerto137/1751931-1-ita-IT/concerto.jpg,https://www.comune.rovereto.tn.it/openpa/object/135202,Centenario della Filarmonica di Rovereto,<p>Centenario della Filarmonica di Rovereto</p>,"F. Liszt, Dante Symphonie ",11.036636,2021-12-14,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135202,45.890658
"sabato 23 e domenica 24 ottobre 2021 dalle 18.00 alle 24.00  Campana dei Caduti, Colle di Miravalle , 38068 Rovereto TN",https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/la-cultura-si-illumina-per-la-pace/1736536-1-ita-IT/La-cultura-si-illumina-per-la-pace.png,https://www.comune.rovereto.tn.it/openpa/object/134202,La città di Rovereto e i suoi musei si accendono di blu per una notte straordinaria,"<p class="" text-justify"">La città di Rovereto e i suoi musei si accendono di blu per una notte straordinaria</p>",Notte blu a Rovereto,11.040772,2021-10-14,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/134202,45.874126
