name,startDate,endDate,location,lat,lon,organization,guests
100KM DEI FORTI: offroad allo stato puro ,8/6/24,,,,,,
Un sogno a cinque cerchi ,,,Centro Congressi Lavarone ,,,,"Christian Seneca, Gianluigi Toigo, Lara Naki Gutmann, Sofia Groblechner, Jerta, Jolanda Schir"
