name,startDate,endDate,location,lat,lon,organization,guests
Agor  dei Talenti 2024,21/9/24 10.00,21/9/24 19.00,Parco Albere Aldeno ,,,,
Agor   dei Talenti 2024,22/9/24 10.00,22/9/24 19.00,Parco Albere Aldeno ,,,,
Corso di Difesa Personale - Associazione Judo Zen'Yo Destra Adige,12/11/24 19.00,12/11/24 20.30,"Via Martignoni n. 34, Aldeno",45.978.739,11.091.057,Judo Zen'Yo Destra Adige,
