name,startData,endDate,location,lat,lon,organization,guests
S.P.A.L. - TNT MONTE PELLER,18/7/19 18:00,,Centro Sportivo di Mezzana,,,S.P.A.L. CALCIO,
S.P.A.L. - ROTALIANA,25/7/19 18:30,,Centro Sportivo di Mezzana,,,S.P.A.L. CALCIO,
