remoteId,published,modified,Titolo,"Eventuale sottotitolo","Tipo di evento","Identificativo dell'evento","Date ed orari dell'evento","Descrizione breve",Argomenti,"Descrizione completa","Galleria immagini",Video,"Iniziativa di cui fa parte",Destinatari,"Informazioni sui destinatari","Luogo dell'evento",lat,lon,address,"Presenti all'evento","E' gratuito","Informazioni sui costi",Offerta,Locandina,Allegati,"Punti di contatto",Contatti,"Ulteriori informazioni",Organizzatori,"Informazioni sugli organizzatori",Patrocinio,Sponsor,"Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento","Chi presenta","Servizio di traduzione curato da","Lingue usate all'evento","Numero massimo di posti","Tempo di lettura","Parole chiave","Valutazione dell'evento",Appuntamenti,Recensione,"Indicato per"
5e9304673a5eceb0a8b8ab816d41b862,2023-11-21T16:44:01+01:00,2023-11-22T10:03:30+01:00,"Voglio vivere così",,"Evento culturale,Manifestazione artistica",,,"Commedia musicale dagli anni 30' ai giorni nostri 

  
    
      
    
		  		
	    
	    
    
                                        
                                                                                                                                                ","Tempo libero","Commedia musicale",404929087_3471504766328593_7740735758272170410_n,,,Adulti,Anziani,Famiglie,Giovani,,"Teatro Valle dei Laghi",,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1386/26881/6/404929087_3471504766328593_7740735758272170410_n.jpg,,"Contatti Teatro Valle dei Laghi",,,,,,,,,,Italiano,400,2,,,,,
d469d8c7e7083413206a4f5cb25c1d0c,2023-12-14T09:46:50+01:00,2023-12-14T09:56:44+01:00,"Concerto di Natale del Coro Valle dei Laghi",,"Manifestazione musicale",,,"Concerto di Natale del Coro Valle dei Laghi","Tempo libero","Concerto di Natale del Coro Valle dei Laghi","concerti di natale2023",,,Adulti,Anziani,Bambini,Famiglie,Giovani,,"Chiesa di Santa Maria della Pace",,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1420/27435/2/WhatsApp+Image+2023-12-05+at+11.24.09.jpeg,,"Contatti Biblioteca di Vezzano ",,,"Comunità Valle dei Laghi",,,,,,,Italiano,200,2,,,,,
f5e203a96b5b317260093f9fa7dd8285,2023-12-14T10:06:42+01:00,2023-12-14T10:14:44+01:00,"Concerto del Corpo Bandistico di Vezzano",,"Manifestazione musicale",,,"Concerto del Corpo Bandistico di Vezzano","Tempo libero","Concerto del Corpo Bandistico di Vezzano",ConcertodiNatale,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,"Teatro Valle dei Laghi",,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1427/27539/2/WhatsApp_Image_2023-12-05_at_11.24.09.jpeg,,"Contatti Biblioteca di Vezzano ",,,,,,,,,,,0,2,,,,,
8482cb8084120042f095cb1a2a08acb8,2023-12-14T09:46:26+01:00,2023-12-14T10:06:07+01:00,"Concerto di Natale del Coro Paganella ",,"Manifestazione musicale",,,"Concerto del Coro Paganella Chiesa di Terlago ","Tempo libero","concerti di Natale 2023 Coro Paganella ",ConcertodiNatale,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,"Chiesa parrocchiale di Sant'Andrea",,,,,,,,"Contatti Biblioteca di Vezzano ",,,,,,,,,,,0,2,,,,,
59777ba1ab69669595768ebc030800b2,2023-12-14T10:17:38+01:00,2023-12-22T10:14:06+01:00,"Consiglio Comunale ",,"Evento politico",,,"Consiglio Comunale ",Politica,"Consiglio Comunale ","CONVOCAZIOE CONSIGLIO",,,Adulti,Anziani,Famiglie,Giovani,,,,,,,,https://cvallelaghi.pnrr.comunweb.it/content/download/1428/27575/5/convocazione+28+dicembre_signed.pdf,,"Contatti Ufficio Segreteria",,,,,,,,,,Italiano,0,2,,,,,
507eacd3613b308c3195958c8b68a488,2024-02-07T12:14:04+01:00,2024-02-12T10:41:15+01:00,"""Pio Andata e Ritorno""",,"Evento culturale,Manifestazione artistica,Spettacolo teatrale",,,"Spettacolo teatrale &quot,Pio Andata e Ritorno&quot,.","Tempo libero","Trento Spettacoli propone &quot,Pio Andata e Ritorno&quot, sabato 17 febbraio alle ore 21.00 presso il Teatro Valle dei Laghi.Spettacolo di e con Andrea Castelli.","Spettacolo teatrale",,,Adulti,Anziani,Giovani,Bambini,Famiglie,,"Teatro Valle dei Laghi",,,,,,https://www.comune.vallelaghi.tn.it/content/download/3842/48406/4/CTT_VALLEdeiLAGHI_PROSA23-24_manifesto31x46.pdf,,"Contatti Teatro Valle dei Laghi",,,,,,,,,,,0,2,,,,,
9e500256090d804bcd30bd005386d861,2024-02-07T12:06:38+01:00,2024-02-12T10:40:47+01:00,"""Mago per Svago""",,"Evento culturale,Manifestazione artistica,Spettacolo teatrale",,,"Spettacolo teatrale per ragazzi &quot,Mago per Svago&quot,.","Tempo libero","&quot,L'abile teatro&quot, presenta lo spettacolo &quot,Mago per Svago&quot, domenica 11 febbraio alle ore 17.00 presso il Teatro Valle dei Laghi.","Spettacolo teatrale",,,Bambini,Famiglie,Giovani,,"Teatro Valle dei Laghi",,,,,,https://www.comune.vallelaghi.tn.it/content/download/3840/48361/5/CTT_VALLEdeiLAGHI_PROSA23-24_manifesto31x46.pdf,,"Contatti Teatro Valle dei Laghi",,,,,,,,,,,0,2,,,,,
c17d91041947da36a5aa038a9dd7ae0c,2024-02-12T10:34:47+01:00,2024-02-12T10:43:12+01:00,"Carnevale di Padergnone",,"Evento sociale,Raduno di comunità,Sagra",,,"Carnevale di Padergnone 2024.","Tempo libero","Martedì 13 febbraio alle ore 12.00 ci sarà il Carnevale di Padergnone, con penne rigate al ragù, vin brulé e la sfilata delle mascherine.",carnevale,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3909/49687/6/CARNEVALE+2024+PROGRAMMA.pdf,,"Contatti Consorzio Turistico Valle dei Laghi ETS",,,,,,,,,,,0,2,,,,,
fed3ab02e0224e2ff040166896356c08,2024-02-07T12:30:05+01:00,2024-02-12T11:55:48+01:00,"""Il sogno di Shakespeare"" ",,"Evento culturale,Manifestazione artistica,Spettacolo teatrale",,,"Spettacolo teatrale &quot,Il Sogno di Shakespeare&quot,","Tempo libero","&quot,I Nuovi scalzi - Teatro di Bari&quot, propongono lo spettacolo &quot,Il sogno di Shakespeare&quot, venerdì 29 marzo alle ore 21.00 presso il Teatro Valle dei Laghi.","Spettacolo teatrale",,,Adulti,Anziani,Giovani,,"Teatro Valle dei Laghi",,,,,,https://www.comune.vallelaghi.tn.it/content/download/3845/48514/5/CTT_VALLEdeiLAGHI_PROSA23-24_manifesto31x46.pdf,,"Contatti Teatro Valle dei Laghi",,,,,,,,,,,0,2,,,,,
04d3d06285b6734aec73dbcf3e43c23d,2024-02-12T11:26:26+01:00,2024-02-12T11:35:45+01:00,"Carnevale di Margone",,"Evento sociale,Raduno di comunità,Sagra",,,"Carnevale di Margone 2024.","Tempo libero","Sabato 17 febbraio alle ore 12.00 ci sarà il Carnevale di Margone, con pasta alla margonese, vin calt e brulé di mele.",carnevale,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3913/49804/2/CARNEVALE+2024+PROGRAMMA.pdf,,"Contatti Consorzio Turistico Valle dei Laghi ETS",,,,,,,,,,,0,2,,,,,
6b3666a5b1ab288e437622705cecdf45,2024-02-12T11:23:44+01:00,2024-02-12T11:23:44+01:00,"Carnevale di Vezzano",,"Evento sociale,Raduno di comunità,Sagra",,,"Carnevale di Vezzano 2024.","Tempo libero","Martedì 13 febbraio alle ore 12.00 ci sarà il Carnevale di Vezzano con spaghetti al ragù e vin brulé.",carnevale,,,Adulti,Anziani,Bambini,Famiglie,Giovani,,,,,,,,https://www.comune.vallelaghi.tn.it/content/download/3912/49768/1/CARNEVALE+2024+PROGRAMMA.pdf,,"Contatti Consorzio Turistico Valle dei Laghi ETS",,,,,,,,,,,,2,,,,,
