id,name,lit,covered,surface
1723,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
1730,Tennis Club,,,
1753,Circolo Tennis Arco,,,
1754,Circolo Tennis Rovereto Asd,,,
1755,Circolo Tennis Rovereto,,True,
1756,Circolo Tennis Torbole,True,,grass
1776,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
1777,Tennis Club Malcesine,,,
1778,Tennisclinic,,,
1786,Circolo Tennis Trento,True,,clay
1824,Circolo Tennis Calisio,,,
1825,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
1869,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
1870,Circolo Tennis Grillo,,,
1871,Circolo Tennis Lavarone A.S.D.,,,
1895,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
1897,Tennisclub Dilettanti Laghetti,,,
1902,Circolo Tennis Trento,True,,clay
1934,Circolo Tennis Grillo,,,
1935,Circolo Tennis Rovereto Asd,,,
1997,Circolo Tennis Arco,,,
1998,Circolo Tennis Calisio,,,
1999,Circolo Tennis Lavarone A.S.D.,,,
2000,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2001,Circolo Tennis Rovereto,,True,
2002,Circolo Tennis Torbole,True,,grass
2028,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
2029,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
2030,Tennis Club,,,
2031,Tennisclinic,,,
2046,Tennisclub Dilettanti Laghetti,,,
2048,Circolo Tennis Trento,True,,clay
2104,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
2105,Circolo Tennis Calisio,,,
2107,Circolo Tennis Grillo,,,
2108,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2146,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
2157,Circolo Tennis Trento,True,,clay
2201,Circolo Tennis Calisio,,,
2202,Circolo Tennis Grillo,,,
2203,Circolo Tennis Lavarone A.S.D.,,,
2204,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2255,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
2256,Circolo Tennis Rovereto Asd,,,
2257,Circolo Tennis Rovereto,,,
2276,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
2277,Tennis Club,,,
2292,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
2293,Tennis Sparer,,,
2294,Scuolatennis.it - Bolzano,,,
2306,Asv Gargazon/Raika Sektion Tennis,,,
2319,Circolo Tennis,,,
2320,Circolo Tennis Bauzanum '77,,,
2321,Circolo Tennis Cassa di Risparmio,,,
2365,Tennis Academy Service A.S.D.,,,
2366,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
2367,Tennis Club Bolzano Bozen,,,
2368,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
2369,Tennis Club Comune di Bolzano,,,
2371,Tennisclub Dilettanti Laghetti,,,
2399,Circolo Tennis Trento,,,
2453,Circolo Tennis Calisio,,,
2454,Circolo Tennis Grillo,,,
2455,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2479,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
2480,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
2481,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
2482,Tennisclub Dilettanti Laghetti,,,
2487,Circolo Tennis Arco,,,
2497,Circolo Tennis Torbole,True,,grass
2502,Tennis Club,,,
2503,Tennisclinic,,,
2546,Circolo Tennis Grillo,,,
2548,Circolo Tennis Rovereto Asd,,,
2549,Circolo Tennis Rovereto,,True,
2574,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
2575,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
2576,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
2577,Tennis Club Malcesine,,,
2591,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
2614,Circolo Tennis Arco,,,
2615,Circolo Tennis Rovereto Asd,,,
2616,Circolo Tennis Rovereto,,True,
2617,Circolo Tennis Torbole,True,,grass
2636,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
2637,Tennis Club Malcesine,,,
2638,Tennis Club,,,
2639,Tennis Grezzana,,,
2640,Tennisclinic,,,
2651,Circolo Tennis Trento,True,,clay
2671,Circolo Tennis Calisio,,,
2672,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2725,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
2727,Circolo Tennis Grillo,,,
2728,Circolo Tennis Lavarone A.S.D.,,,
2761,Tennisclub Dilettanti Laghetti,,,
2775,Circolo Tennis Trento,,,
2835,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
2836,Circolo Tennis Calisio,,,
2838,Circolo Tennis Grillo,,,
2839,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2875,Tennisclub Dilettanti Laghetti,,,
2899,Circolo Tennis Rovereto Asd,,,
2900,Circolo Tennis Rovereto,,True,
2911,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
2914,Circolo Tennis Trento,,,
2971,Circolo Tennis Arco,,,
2972,Circolo Tennis Calisio,,,
2973,Circolo Tennis Grillo,,,
2974,Circolo Tennis Lavarone A.S.D.,,,
2975,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
2976,Circolo Tennis Torbole,True,,grass
3008,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
3009,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3010,Tennis Club,,,
3011,Tennisclinic,,,
3021,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
3043,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
3062,Tennis Club Asiago,,,
3063,Tennis Club Fonzaso,,,
3064,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3073,Circolo Tennis Trento,True,,clay
3131,Circolo Tennis Arco,,,
3132,Circolo Tennis Calisio,,,
3133,Circolo Tennis Grillo,,,
3135,Circolo Tennis Rovereto Asd,,,
3136,Circolo Tennis Rovereto,,,
3137,Circolo Tennis Torbole,True,,grass
3168,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
3169,Tennis Club,,,
3170,Tennisclinic,,,
3199,Circolo Tennis Arco,,,
3210,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3214,A.S.D. Tennis Darzo,,,
3223,Amici del Tennis Odolo,,,
3251,Tennis Club Collio,,,
3252,Tennis Club Malcesine,,,
3253,A.S.D. Tennis Darzo,,,
3266,Circolo Tennis Arco,,,
3267,Circolo Tennis Torbole,True,,grass
3285,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3286,Tennis Club Collio,,,
3287,Tennis Club Malcesine,,,
3288,Tennisclinic,,,
3291,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3306,Circolo Tennis Arco,,,
3308,Circolo Tennis Torbole,True,,grass
3324,Tennisclinic,,,
3329,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
3364,Circolo Tennis Calisio,,,
3365,Circolo Tennis Lavarone A.S.D.,,,
3366,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
3385,Tennis Club Asiago,,,
3401,Circolo Tennis Rovereto Asd,,,
3402,Circolo Tennis Rovereto,,True,
3403,Circolo Tennis Torbole,True,,grass
3413,Tennis Club Ala Associaz.Sport.Dilettantistica,,,
3414,Tennis Club C10 Ass.Sportiva Dilettantistica,,True,
3415,Tennis Club,,,
3416,Tennisclinic,,,
3434,Circolo Tennis Arco,,,
3448,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3449,Tennis Club Malcesine,,,
3460,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
3489,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
3490,Tennis Sparer,,,
3501,Scuolatennis.it - Bolzano,,,
3514,Asv Gargazon/Raika Sektion Tennis,,,
3529,Circolo Tennis,,,
3530,Circolo Tennis Bauzanum '77,,,
3531,Circolo Tennis Cassa di Risparmio,,,
3578,Tennis Academy Service A.S.D.,,,
3579,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
3580,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
3581,Tennis Club Bolzano Bozen,,,
3582,Tennis Club Bronzolo Branzoll Sportiva Dilettantistica,,,
3583,Tennis Club Comune di Bolzano,,,
3585,Tennis Gehra,,,
3586,Tennis Sparer,,,
3587,Tennisclub Dilettanti Laghetti,,,
3622,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
3623,Tennis Club Associazione Sportiva Dilettantistica,True,,clay
3656,Circolo Tennis Grillo,,,
3657,Circolo Tennis Lavarone A.S.D.,,,
3658,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
3674,Circolo Tennis Trento,True,,clay
3717,Circolo Tennis Borgo Assoc.Sport.Dilettantistica,,,
3718,Circolo Tennis Calisio,,,
3719,Circolo Tennis Rovereto Asd,,,
3720,Circolo Tennis Rovereto,,True,
3740,Tennis Club C10 Ass.Sportiva Dilettantistica,,,
3754,Tennis Centro Val di Non Associazione Sportiva Dilettantistica,,,
3755,Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica,,,
3796,Circolo Tennis Lavarone A.S.D.,,,
3797,Circolo Tennis Pergine Assoc.Sport.Dilettantistica,,,
