name;address;comune;open_hours;phone_number;website
Centro Ippico Paoli;Localit Lochere, 33;Caldonazzo;sunday: 08:00 - 12:00 / 14:00 - 20:00, monday: 08:00 - 12:00 / 14:00 - 20:00, tuesday: 08:00 - 12:00 / 14:00 - 20:00, wednesday: 08:00 - 12:00 / 14:00 - 20:00, thursday: 08:00 - 12:00 / 14:00 - 20:00, friday: 08:00 - 12:00 / 14:00 - 20:00, saturday: 08:00 - 12:00 / 14:00 - 20:00;3200829633 0461706186;
Centro Natatorio Pergine Valsugana;Via Marconi Guglielmo, 51;Pergine Valsugana;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 06:00 - 22:00, wednesday: 07:00 - 22:00, thursday: 06:00 - 22:00, friday: 07:00 - 22:00, saturday: 06:00 - 22:00;0461531773;
Centro Sportivo M. Zorzi Mattarello;Via per Castel Vedro, 3;Trento;;0461959812;
Centro Sportivo O. Ceschi - Gabbiolo;Via alla Cros, 10;Trento;;0461959812;
Centro Universitario Sportivo Trento Ass.Sp.Dilettantistica;Via delle Regole, 101;Trento;sunday: 09:00 - 18:00, monday: 09:00 - 13:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0461944356;
Circolo Ippico La Roccia;Localit Pianiza, 33;Trento;sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;0461913143;
Circolo Tennis Lavarone A.S.D.;Frazione Gionghi, 107;Lavarone;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0464724146;
Circolo Tennis Pergine Assoc.Sport.Dilettantistica;Viale Petri, 2;Pergine Valsugana;;0461532169;
"Gym ""G. Pascoli""";Via Znojmo, 24;Trento;;0461992990;
Madonna Bianca;Via Bettini Angelo, 2;Trento;;0461390785;
Panarotta S.r.l.;Localita' Panarotta, 1;Levico Terme;;3470333532;
Pista Motocross;Frazione Canezza;Pergine Valsugana;monday: 09:00 - 12:00 / 15:00 - 18:00;3283636093;
Studio Tecnico Associato Gasperotti di Ing. Dott. Gasperotti Luca ed Ing. Dott. Gasperotti Giorgio;Salita S. Agata, 23;Trento;;0461811409;
Alessio Donzella Coach;Piazza Tridente, 9;Trento;sunday: 08:30 - 19:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00;393497682763;
Scuola Italiana Sci Folgaria;Localit Francolini, 41;Folgaria;tuesday: 09:00 - 13:00, wednesday: 09:00 - 13:00, thursday: 09:00 - 13:00, friday: 09:00 - 13:00, saturday: 09:00 - 13:00;0464721926;
Circolo Tennis Trento;Via Venezia, 41/1;Trento;;3381313658;
Piscina Comunale di Roffo Angelo;Piazzale degli Alpini, 2;Roana;sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30;3346879265 3888676170;
Star Club;Via Unterveger Giambattista, 104;Trento;sunday: 05:00 - 20:00, monday: 05:00 - 20:00, tuesday: 05:00 - 23:00, wednesday: 05:00 - 23:00, thursday: 05:00 - 23:00, friday: 05:00 - 23:00, saturday: 05:00 - 23:00;0461821284;
2001 S.R.L.;Via Lungo Leno Destro, 25/B;Rovereto;;0464439377;
Ac Trento 1921 S.r.l.;Via Roberto da Sanseverino, 41;Trento;;0461524993;
Albergatori Tonezza;Via Campana, 7;Tonezza del Cimone;;3428898244;
Aquila Basket Trento 2013 S.r.l.;Via Bolghera, 37;Trento;;0461528417;
Aquila Basket Trento 2013 S.r.l.;Via Zara, 14;Trento;;0461262253;
Aquila Basket Trento 2013 S.r.l.;Via Guardini Romano, 42;Trento;;0461439684;
Aquila Basket Trento 2013 S.r.l.;Via Fersina, 11;Trento;;0461935181;
Aquila Basket Trento 2013 S.r.l.;Viale della Costituzione, 5;Trento;;0461437435;
Aquila Basket Trento 2013 S.r.l.;Passaggio Clementel Ezio, 7;Trento;;0461437387;
Aquila Basket Trento 2013 S.r.l.;Viale Olivetti Adriano, 20;Trento;;0461527402 0461525310;
Aquila Basket Trento 2013 S.r.l.;Via Chini Eusebio, 59;Trento;;0461931035 0461916579;
Associazione Equestre Cavalcailvento;Localit Salin;Cavedine;;3493856899 0461568267;
Associazione Maestri Sci Asiago;Via Stazione, 1;Asiago;;3405985746 3458887347;
Associazione Polisportiva Dilettantistica Kosmos Rovereto;Via della Roggia, 45;Rovereto;;3497721742 3517595860 0464666600 0464942281;
Associazione Sportiva Sportivando;Via Brunner Giuseppe, 9;Trento;;0461091706;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Via IV Novembre . Gardolo, 23;Trento;;0461959800;
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento;Strada delle Viote, 1;Trento;;0461948032;
Black Ice S.n.c. di Bettin Yuri & C.;Via al Dos Ciastel, 4;Fai della Paganella;;3292599675;
Body Planet;Via Gentilotti Benedetto, 4;Trento;sunday: 10:00 - 16:00, tuesday: 08:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 08:00 - 22:00, friday: 10:00 - 22:00, saturday: 08:00 - 22:00;0461910096;
Campo Baseball;Via Fersina, 17;Trento;;0461959812;
Campo Calcio Argentario;Via Ponte Alto, 79;Trento;tuesday: 08:30 - 17:00, thursday: 08:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461992990;
Campo Calcio;Via Lavisotto, 41;Trento;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461959812;
Campo Calcio Martignano;Via Talvera, 11;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461959812;
Campo Calcio Meano;Via Bellaria, 9;Trento;;0461959812;
Campo Calcio Piedicastello;Via Santissimi Cosma e Damiano, 107;Trento;;0461959812;
Campo Calcio San Bortolomeo;Viale degli Olmi, 44;Trento;;0461959812;
Campo Calcio Sopramonte;Via di Mura, 24;Trento;;0461959812;
Campo da calcio Bedolpian;Localit Bedolpian;Baselga di Pin;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461558634 3496989956;
Campo da calcio La Pineta di Folgaria;Via De Gasperi;Folgaria;;0464723131;
Campo da Softball;Via Hubert Jedin;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30;0461992990;
Campo di Atletica Leggera Comunale;Via Maccani Ezio, 2;Trento;;0461830454;
Campo di Atletica Leggera Comunale;Piazzale Camillo Rusconi, 5;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461959812;
Campo di Golf;Via Ferme;Roncegno Terme;;0461773337;
Campo Pedemonte;Via Brancafora;Pedemonte;;;
Campo Sportivo Cristo Re;Via Lavisotto, 41;Trento;;06992990;
Campo Sportivo Fucine a Rovereto;Via Leonardo da Vinci;Rovereto;;;
Campo sportivo San Bartolomeo;Via degli Olmi;Trento;;0461992990;
Carli Sport S.r.l.;Via Cane', 7;Mezzocorona;;0461605049;
Centro di Tiro con l'Arco;Via della Roggia, 45;Rovereto;sunday: 10:00 - 22:00, monday: 10:00 - 22:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00;0464486113 0464421569 3665809997;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;sunday: 11:00 - 03:00, monday: 11:00 - 23:59, saturday: 18:00 - 03:00;0461683518;
Centro Ippico;Via dei Paludi, 22;Baselga di Pin;sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, tuesday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00;3470152778;
Centro Natatorio Comunale di Rovereto;Via Udine, 1;Rovereto;sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30;0464435440;
Centro Natatorio Folgaria;Via Nazioni Unite, 21/B;Folgaria;sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00;0464720058;
Centro Pilates e Gyrotonic;Piazza del Duomo, 30;Trento;sunday: 06:30 - 21:30, monday: 06:30 - 21:30, tuesday: 06:30 - 21:30, wednesday: 06:30 - 21:30, thursday: 06:30 - 21:30, friday: 06:30 - 21:30, saturday: 06:30 - 21:30;3398683083;
