name,address,comune,open_hours,phone_number,website
Campo Calcio,"Via Lavisotto, 41",Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Campo Calcio Martignano,"Via Talvera, 11",Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30",0461959812,
Campo Calcio Meano,"Via Bellaria, 9",Trento,,0461959812,
Campo Calcio Piedicastello,"Via Santissimi Cosma e Damiano, 107",Trento,,0461959812,
Campo Calcio San Bortolomeo,"Viale degli Olmi, 44",Trento,,0461959812,
Campo Calcio Sopramonte,"Via di Mura, 24",Trento,,0461959812,
Campo da calcio La Pineta di Folgaria,Via De Gasperi,Folgaria,,0464723131,
Campo da Softball,Via Hubert Jedin,Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30",0461992990,
Campo di Atletica Leggera Comunale,"Via Maccani Ezio, 2",Trento,,0461830454,
Campo di Atletica Leggera Comunale,"Piazzale Camillo Rusconi, 5",Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30",0461959812,
Campo Pedemonte,Via Brancafora,Pedemonte,,,
Campo Sportivo Cristo Re,"Via Lavisotto, 41",Trento,,06992990,
Campo sportivo di Mezzocorona,Via San Giovanni Bosco,Mezzocorona,,,
Campo Sportivo Moar,"Frazione Azzolini, 82",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464783179,
Campo sportivo San Bartolomeo,Via degli Olmi,Trento,,0461992990,
Carli Sport S.r.l.,"Via Cane', 7",Mezzocorona,,0461605049,
Centro Equestre Citt di Trento,"Via della Selva, 34",Trento,,,
Centro Equitazione Airone,"Localit Barco, 3",Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",3396768993,
Centro Equitazione Alpina Spiado,"Localit Quarazza, 1",Pieve Tesino,,0461594572,
Centro Equitazione Andalo,"Via Priori, 16",Andalo,"sunday: 09:00 - 12:00 / 14:00 - 18:00, monday: 09:00 - 12:00 / 14:00 - 18:00, wednesday: 09:00 - 12:00 / 14:00 - 18:00, thursday: 09:00 - 12:00 / 14:00 - 18:00, friday: 09:00 - 12:00 / 14:00 - 18:00, saturday: 09:00 - 12:00 / 14:00 - 18:00",0461585900,
Centro Ippico Il Salice,"Via Carducci Giosue', 98",Folgaria,,3487842363,
Centro Ippico Paoli,"Localit Lochere, 33",Caldonazzo,"sunday: 08:00 - 12:00 / 14:00 - 20:00, monday: 08:00 - 12:00 / 14:00 - 20:00, tuesday: 08:00 - 12:00 / 14:00 - 20:00, wednesday: 08:00 - 12:00 / 14:00 - 20:00, thursday: 08:00 - 12:00 / 14:00 - 20:00, friday: 08:00 - 12:00 / 14:00 - 20:00, saturday: 08:00 - 12:00 / 14:00 - 20:00","0461706186, 3200829633",
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
