name;address;comune;open_hours;phone_number;website
Centro Civico Don Bosco;Piazza Don Bosco, 17;Bolzano;"""monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00, sunday: 08:00 - 20:00""";0471997050;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;"""monday: 11:00 - 23:59, saturday: 18:00 - 03:00, sunday: 11:00 - 03:00""";0461683518;
Centro Equitazione Alpina Val;Localit Pressenago;Pellizzano;"""""";0463751552 3386078681;
Centro Equitazione Andalo;Via Priori, 16;Andalo;"""monday: 09:00 - 12:00 / 14:00 - 18:00, wednesday: 09:00 - 12:00 / 14:00 - 18:00, thursday: 09:00 - 12:00 / 14:00 - 18:00, friday: 09:00 - 12:00 / 14:00 - 18:00, saturday: 09:00 - 12:00 / 14:00 - 18:00, sunday: 09:00 - 12:00 / 14:00 - 18:00""";0461585900;
Centro Sportivo Comunale Di Mezzana;Via del Pressenach, 1;Mezzana;"""monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00, sunday: 09:00 - 22:00""";0463757551;
Circolo Tennis;Viale Druso, 20;Bolzano;"""monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00, sunday: 08:00 - 22:00""";0471449915 3312700579;
Circolo Tennis Cassa di Risparmio;Via San Giacomo, 158;Laives;"""monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00, sunday: 09:00 - 23:00""";0471251565;
Comune di Caldaro sulla Strada del Vino;Via Castelvecchio, 45;Caldaro sulla Strada del Vino;"""""";0471961114;
Flying Park;Via De Gasperi, 8;Mal;"""""";3924860806 0463903033;
Frasnelli Kart S.r.l.;Ischia Frizzi, 3/A;Vadena;"""""";3356069288;
Ganthaler C. & C. S.a.s.;Via Merano Vilpiano, 50;Terlano;"""""";0471678716;
Golf & Country Sdtirol;Strada Riva di Sotto, 74;Appiano sulla Strada del Vino;"""monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59, sunday: 00:00 - 23:59""";04711888164 3364648302;
Golf Club Campo Carlo Magno;Via Cima Tosa, 15;Pinzolo;"""monday: 08:00 - 18:00, tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00, sunday: 08:00 - 18:00""";0465440622;
Golf Club Carezza Freudenstein;Strada Sasso Croce, 6;Appiano sulla Strada del Vino;"""""";0471660332 3393271291;
Golf Club Carezza Freudenstein;Strada Masaccio, 3;Appiano sulla Strada del Vino;"""""";3393271291;
Golf Club Petersberg;Via Unterwinkel, 5;Nova Ponente;"""""";0471615122;
Hotel Markushof S.a.s. di Graiff Markus & C.;Via Truidn, 1;Ora;"""""";0471802872 0471810025 0471814243 047181243 0471810272;
Kaessbohrer Italia S.r.l.;Via Galilei, 32;Bolzano;"""""";0471933027;
Leichtathletik Ssv - Leifers;Via Pietralba, 64;Laives;"""""";0471952434;
Libertas Kickboxing Bolzano;Via Resia, 180;Bolzano;"""tuesday: 19:00 - 20:00, wednesday: 19:00 - 20:00, thursday: 19:00 - 20:00, friday: 19:00 - 20:00""";3489325033;
Markspeed Race di Marchesan Gianni;Via Nambino, 27;Pinzolo;"""""";3356266636;
Palaghiaccio;Via Rio Nero, 7;Ora;"""""";0471802022;
Palaghiaccio Folgarida;Strada del Roccolo, 24;Dimaro Folgarida;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59""";0463986113 0463986266;
Palaonda;Via Galvani, 34;Bolzano;"""sunday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";0471914813 0471913968;
Palascherma;Via Resia, 39;Bolzano;"""sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00""";0471997451 0471500777;
Palasport;Via Resia, 39/A;Bolzano;"""sunday: 07:00 - 21:30, monday: 07:00 - 21:30, tuesday: 07:00 - 21:30, wednesday: 07:00 - 21:30, thursday: 07:00 - 21:30, friday: 07:00 - 21:30, saturday: 07:00 - 21:30""";0471935558;
Palazzetto dello Sport;Viale Trieste, 21;Bolzano;"""sunday: 15:00 - 23:00, monday: 09:00 - 20:00""";0471910217;
Piscina Acquacenter Val di Sole;Via alla Croce, 1;Mal;"""sunday: 10:00 - 21:00, monday: 10:00 - 21:00, tuesday: 10:00 - 21:00, wednesday: 15:00 - 19:30, thursday: 15:00 - 19:30, friday: 15:00 - 19:30, saturday: 15:00 - 19:30""";0463902545;
Piscina Comunale;Via Rio Nero, 1;Ora;"""""";3492637459 3490058257;
Pista da ghiaccio Maso della Pieve;Via Maso della Pieve, 11;Bolzano;"""sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00""";0471250598;
Polisportiva Pineta;Via Aldo Moro, 9;Laives;"""sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0471951633;
Punto K S.r.l. Sportiva Dilettantistica;Viale Europa, 102;Bolzano;"""""";0471919432 3533162817;
SEIK G.M.B.H. - S.R.L.;Zona Artigianale, 26;Trodena nel Parco Naturale;"""""";0471887087;
Sportarena Unterland;Via Brenner, 7;Egna;"""""";0471820900 0471813614 0471813613;
Sportarena Unterland;Via Brennero, 7;Egna;"""""";0471813625 0471820900 0471813613 0471823224 0471813614 3382285799;
Sportbau S.r.l.;Ponte Ponte Adige, 43;Bolzano;"""""";0471663158 0471631611;
Sportbau Srl Costruzione Impianti Sportivi;Via Castel Firmiano, 43;Bolzano;"""""";0471663158 0471631611 0471631610;
Sportcenter;Via del Campo Sportivo, 16;Aldino;"""""";0471886072;
Sportclub Federhofer;Via San Vigilio, 80/94;Bolzano;"""sunday: 09:30 - 16:00, tuesday: 09:30 - 22:00, wednesday: 09:30 - 22:00, thursday: 09:30 - 22:00, friday: 09:30 - 22:00, saturday: 09:30 - 22:00""";0471282804 3403570160;
Squash Club Bolzano;Via Resia, 39;Bolzano;"""sunday: 16:00 - 20:00, tuesday: 12:30 - 14:00 / 17:00 - 23:00, wednesday: 12:30 - 14:00 / 17:00 - 23:00, thursday: 12:30 - 14:00 / 17:00 - 23:00, friday: 12:30 - 14:00, saturday: 12:30 - 14:00 / 17:00 - 23:00""";0471935528;
Stadio del ghiaccio di Mal;Localit Molin, 4;Mal;"""""";0463901905;
Tc Rungg Asv;Via Maso Ronco;Appiano sulla Strada del Vino;"""sunday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0471663104;
Technoalpin S.p.a.;Via Vurza, 5;Laives;"""""";0471254236;
Technoalpin S.p.a.;Via Piero Agostini, 2;Bolzano;"""""";0471550534 0471550524 0471550522 0471550605 0471200061;
Tennis Academy Service A.S.D.;Via Nazionale, 23;Bronzolo;"""sunday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";3283786609;
