name;address;comune;open_hours;phone_number;website
Circolo Tennis Arco;Via Pomerio, 11;Arco;"""sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30""";0464516824;
Circolo Tennis Calisio;Via Pradiscola, 1;Trento;"""sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00""";0461820040;
Circolo Tennis Grillo;Via San Pio X, 117;Trento;"""sunday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00""";0461925234;
Circolo Tennis Ledro;Localit Besta, 1;Ledro;"""sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00""";3805235139;
Circolo Tennis Rovereto Asd;Via Lungo Leno Destro, 25;Rovereto;"""sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00""";0464431045 0464439377;
Circolo Tennis Rovereto;Via della Roggia, 43;Rovereto;"""sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00""";0464431045;
Circolo Tennis Torbole;Strada Granda, 67;Nago-Torbole;"""sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00""";3925442873;
Club Ippico San Giorgio;Localit San Giorgio Arco;Arco;"""sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00""";3484438307;
Comune di Riva del Garda;Piazza Contini Maria, 5;Riva del Garda;"""""";0464520078;
Ecosport Italia S.r.l.;Via Avisio, 24;Trento;"""""";0438837210 043882778 3295459087;
