name,address,comune,open_hours,phone_number,website
Punto Fitness,"Via del Garda, 44 bis",Rovereto,"sunday: 09:30 - 17:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00","3470891264, 0464430908",
kite centergarda lake,"Via Valle dell'Acqua, snc",Malcesine,,3454795705,
Palaghiaccio Comunale,Via Vinco D.,Bosco Chiesanuova,"sunday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, monday: 10:00 - 12:00 / 15:30 - 17:00 / 17:30 - 19:00, tuesday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, wednesday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, thursday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, friday: 10:00 - 12:00 / 17:00 - 19:00 / 21:00 - 23:00, saturday: 10:00 - 12:00 / 17:00 - 19:00",0457050698,
Garda Sporting Club Hotel,"Via Antonio Abondio, 7",Riva del Garda,,0464552072,
2001 S.R.L.,"Via Lungo Leno Destro, 25/B",Rovereto,,0464439377,
Altogarda Golf,Localit San Tomaso,Riva del Garda,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0365643006,
Amici Nuoto Riva,"Viale Rovereto, 45",Riva del Garda,,"3490586660, 0464311398, 0464520078, 3397376737",
Associazione Polisportiva Dilettantistica Kosmos Rovereto,"Via della Roggia, 45",Rovereto,,"0464666600, 3517595860, 3497721742, 0464942281",
Associazione Sportiva Dilettantistica Tennis Caprino Veronese,"Viale dello Sport, 14",Caprino Veronese,,0456230907,
Campo Comunale Menarini,Via Menarini,Recoaro Terme,,,
Campo da Calcio,Via Fasse,Limone sul Garda,"sunday: 07:00 - 20:00, monday: 07:00 - 20:00, tuesday: 07:00 - 20:00, wednesday: 07:00 - 20:00, thursday: 07:00 - 20:00, friday: 07:00 - 20:00, saturday: 07:00 - 20:00",0365954008,
Campo da calcio La Pineta di Folgaria,Via De Gasperi,Folgaria,,0464723131,
Campo Felice Nensi,Via Paina,Malcesine,,,
Campo Sportivo Fucine a Rovereto,Via Leonardo da Vinci,Rovereto,,,
Casa Gioventu',Via Fogazzaro,Torrebelvicino,,,
Centro di Tiro con l'Arco,"Via della Roggia, 45",Rovereto,"sunday: 10:00 - 22:00, monday: 10:00 - 22:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00","3665809997, 0464421569, 0464486113",
Centro Natatorio Comunale di Rovereto,"Via Udine, 1",Rovereto,"sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30",0464435440,
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
Circolo Ippico Castel Beseno,"Via Morini, 26",Calliano,"sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00",0464834483,
Circolo Tennis Arco,"Via Pomerio, 11",Arco,"sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30",0464516824,
Circolo Tennis Rovereto Asd,"Via Lungo Leno Destro, 25",Rovereto,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","0464431045, 0464439377",
Circolo Tennis Rovereto,"Via della Roggia, 43",Rovereto,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464431045,
Circolo Tennis Torbole,"Strada Granda, 67",Nago-Torbole,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3925442873,
Club Ippico San Giorgio,Localit San Giorgio Arco,Arco,"sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00",3484438307,
Comune di Riva del Garda,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Fly2fun Parapendio Biposto,Localit Sottodossi,Malcesine,,3349469757,
Golf Club Folgaria,Localit Maso Spilzi,Folgaria,,0464720480,
Golf Club Rovereto,"Viale Caproni Giovanni, 44",Rovereto,,3666432648,
Istituto Superiore Don Milani - Depero,"Via Balista, 2",Rovereto,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464485511,
Leno 2001,"Via Udine, 18",Rovereto,,0464400315,
Maneggio H-Cadr,"Via Piave, 84",Ledro,,0464508292,
Nuove Concessioni Sportive Societa' Sportiva Dilettantistica a Responsabilita' Limitata,"Via Progni, 48",Fumane,,0457758521,
Palagarda,"Via San Tommaso, 69",Riva del Garda,,"0464555772, 0464554551",
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Palasport di Folgaria,"Via Nazioni Unite, 21/B",Folgaria,,0464720277,
Palazzetto dello Sport,"Via Piomarta, 1",Rovereto,,"0464438055, 0464413377",
Piscina Comunale Arco,"Via Legionari Cecoslovacchi, 14",Arco,,"0464517000, 0464516830",
Piscina Comunale Enrico Meroni,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Riva S.a.s. di Schneider Wilma e C.,"Viale Tigli, 40",Riva del Garda,,"3292146937, 0464552072",
Stadio Comunale,Via Domenico da Lugo,Grezzana,,,
Stadio Quercia,"Via Palestrina, 3",Rovereto,,,
Teatro San Nicolo',"Piazzetta Don Antonio Quarella, 1",Rover Veronese,,0455867740,
Tennis Club C10 Ass.Sportiva Dilettantistica,Via della Roggia,Rovereto,,0464431045,
Tennis Club Malcesine,"Via Sommavilla, 12",Malcesine,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","3516148134, 0456584136",
Tennisclinic,"Via Belluno, 4",Riva del Garda,,3270808849,
Tiro a Segno Nazionale di Caprino Veronese,"Localita' Vignol, 1",Caprino Veronese,,"0455703183, 0456230407",
Tiro a Segno Nazionale di Caprino Veronese,"Via Tiro a Segno, 1",Caprino Veronese,,0456230407,
U.S. S.Anna d'Alfaedo,"Via Cesare Battisti, 180",Sant'Anna d'Alfaedo,,0457519004,
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Atletica Alto Garda E Ledro,"Via Pomerio, 9",Arco,"tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59",0464510346,
