name;address;comune;open_hours;phone_number;website
Trentino Wild;Via Gole, 412;Dimaro Folgarida;sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00;3402175873 0463973278;
Hockey Club Val Rendena Associazione Sportiv;Via allo Stadio, 21;Pinzolo;;0465500068 0465503654;
Campo sportivo comunale di Mal;Localit Molini;Mal;;;
Flying Park;Via De Gasperi, 8;Mal;;0463903033 3924860806;
Golf Club Campo Carlo Magno;Via Cima Tosa, 15;Pinzolo;sunday: 08:00 - 18:00, monday: 08:00 - 18:00, tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00;0465440622;
Markspeed Race di Marchesan Gianni;Via Nambino, 27;Pinzolo;;3356266636;
Palaghiaccio Folgarida;Strada del Roccolo, 24;Dimaro Folgarida;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0463986266 0463986113;
Piastra Polivalente Di Temu';Via Saletti;Tem;;0364906420;
Piscina Acquacenter Val di Sole;Via alla Croce, 1;Mal;sunday: 10:00 - 21:00, monday: 10:00 - 21:00, tuesday: 10:00 - 21:00, wednesday: 15:00 - 19:30, thursday: 15:00 - 19:30, friday: 15:00 - 19:30, saturday: 15:00 - 19:30;0463902545;
Ponte di Legno Golf Club;Via Risorgimento, 5;Ponte di Legno;;0364900306;
Salone Dolores di Beltrami Dolores per Lei e per Lui;Via Vittorio Veneto, 4;Pinzolo;;347459619 337459619;
Societa' Infrastrutture Alta Valcamonica S.p.a.;Via Corno D'Aola, 5;Ponte di Legno;;0364900856;
Stadio del ghiaccio di Mal;Localit Molin, 4;Mal;;0463901905;
Tennis Centro Val Di Sole Assoc.Sp.Dilettantistica;Via Brescia, 88;Dimaro Folgarida;sunday: 09:00 - 12:00 / 15:00 - 19:00, monday: 09:00 - 12:00 / 15:00 - 19:00, tuesday: 09:00 - 12:00 / 15:00 - 19:00, wednesday: 09:00 - 12:00 / 15:00 - 19:00, thursday: 09:00 - 12:00 / 15:00 - 19:00, friday: 09:00 - 12:00 / 15:00 - 19:00, saturday: 09:00 - 12:00 / 15:00 - 19:00;0463970004;
Funivie Pinzolo Spa;Via Bolognini, 84;Pinzolo;sunday: 08:00 - 12:00 / 14:00 - 17:30, monday: 08:00 - 12:00 / 14:00 - 17:30, tuesday: 08:00 - 12:00 / 14:00 - 17:30, wednesday: 08:00 - 12:00 / 14:00 - 17:30, thursday: 08:00 - 12:00 / 14:00 - 17:30, friday: 08:00 - 12:00 / 14:00 - 17:30, saturday: 08:00 - 12:00 / 14:00 - 17:30;0465501256;
Scuola Italiana Sci CCM Campiglio;Via Zeledria, 8;Pinzolo;sunday: 08:00 - 19:00, monday: 08:00 - 19:00, tuesday: 08:00 - 19:00, wednesday: 08:00 - 19:00, thursday: 08:00 - 19:00, friday: 08:00 - 19:00, saturday: 08:00 - 19:00;0465443222;
