name;address;comune;open_hours;phone_number;website
Break Point Golf Club;Localit Maso Grillo, 4;Pergine Valsugana;sunday: 08:30 - 21:00, monday: 08:30 - 21:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00;3474647351;
Campo Calcio Martignano;Via Talvera, 11;Trento;tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30;0461959812;
Campo Calcio Meano;Via Bellaria, 9;Trento;;0461959812;
Campo da calcio Bedolpian;Localit Bedolpian;Baselga di Pin;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0461558634 3496989956;
Campo di Golf;Via Ferme;Roncegno Terme;;0461773337;
Campo di pattinaggio;Via Lago;Tesero;;0462812358 0462814064;
Campo Ghiaccio di Pergine;Via al Ponte, 1/A;Pergine Valsugana;sunday: 14:00 - 16:30, monday: 14:00 - 16:30, tuesday: 14:00 - 16:30, wednesday: 14:00 - 16:30, thursday: 14:00 - 16:00, friday: 14:00 - 16:30, saturday: 14:00 - 16:30;0461534423;
Campo sportivo di Mezzocorona;Via San Giovanni Bosco;Mezzocorona;;;
Campo Sportivo Pfarrhof - Maso della Pieve;Via Maso della Pieve, 11;Bolzano;sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59;0471251926 335252614;
Carli Sport S.r.l.;Via Cane', 7;Mezzocorona;;0461605049;
Centro Equestre Citt di Trento;Via della Selva, 34;Trento;;;
Centro Equestre Happy Ranch;Localit Lago Santo;Cembra Lisignago;sunday: 11:00 - 03:00, monday: 11:00 - 23:59, saturday: 18:00 - 03:00;0461683518;
Centro Ippico;Via dei Paludi, 22;Baselga di Pin;sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, tuesday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00;3470152778;
Centro Natatorio Pergine Valsugana;Via Marconi Guglielmo, 51;Pergine Valsugana;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 06:00 - 22:00, wednesday: 07:00 - 22:00, thursday: 06:00 - 22:00, friday: 07:00 - 22:00, saturday: 06:00 - 22:00;0461531773;
Centro Sportivo M. Zorzi Mattarello;Via per Castel Vedro, 3;Trento;;0461959812;
Centro Sportivo Melta;Via 25 Aprile, 10;Trento;;0461959812;
Centro Sportivo Trento Nord Gardolo;Via IV Novembre, 23/4;Trento;sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00;0461959812;
Circolo Tennis Borgo Assoc.Sport.Dilettantistica;Piazza Mercato, 12;Borgo Valsugana;sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;0461753711;
Circolo Tennis Cassa di Risparmio;Via San Giacomo, 158;Laives;sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00;0471251565;
Circolo Tennis Pergine Assoc.Sport.Dilettantistica;Viale Petri, 2;Pergine Valsugana;;0461532169;
Comune di Caldaro sulla Strada del Vino;Via Castelvecchio, 45;Caldaro sulla Strada del Vino;;0471961114;
Dolomiti Golf Club;Localita' Centro Sportivo Verde, 1;Sarnonico;sunday: 08:30 - 19:30, monday: 08:30 - 19:30, tuesday: 08:30 - 19:30, wednesday: 08:30 - 19:30, thursday: 08:30 - 19:30, friday: 08:30 - 19:30, saturday: 08:30 - 19:30;0463832698;
El Zerilo Ranch;Localit Stava;Tesero;;0462814649 3343535108;
Frasnelli Kart S.r.l.;Ischia Frizzi, 3/A;Vadena;;3356069288;
Golf Club Carezza Freudenstein;Strada Sasso Croce, 6;Appiano sulla Strada del Vino;;3393271291 0471660332;
Golf Club Carezza Freudenstein;Strada Masaccio, 3;Appiano sulla Strada del Vino;;3393271291;
Golf Club Petersberg;Via Unterwinkel, 5;Nova Ponente;;0471615122;
Ice Rink Pin;Via dello Via dello Stadio, 17;Baselga di Pin;sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30 / 14:00 - 16:30, wednesday: 09:00 - 12:30 / 14:00 - 16:30, thursday: 09:00 - 12:30 / 14:00 - 16:30, friday: 09:00 - 12:30 / 14:00 - 16:30, saturday: 09:00 - 12:30 / 14:00 - 16:30;0461554167;
Ice Rink Pine';Via dello Stadio Fraz Miola 17;Baselga di Pin;;0461554167;
Ice Rink Pine' S.r.l.;Frazione Miola, 17;Baselga di Pin;;0461557476;
Ippico Fontanelle;Via Lagorai, 117;Predazzo;;3357057094;
Kaessbohrer Italia S.r.l.;Via Galilei, 32;Bolzano;;0471933027;
Kusch S.n.c. Junior di dalla Tina Maurizio & C.;Via IV Novembre, 83;Predaia;;0463538361 0463536185;
Leichtathletik Ssv - Leifers;Via Pietralba, 64;Laives;;0471952434;
Libertas Kickboxing Bolzano;Via Resia, 180;Bolzano;tuesday: 19:00 - 20:00, wednesday: 19:00 - 20:00, thursday: 19:00 - 20:00, friday: 19:00 - 20:00;3489325033;
Maneggio Ranch Roen;Via Roen;Amblar-Don;sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0463830077 3395026924;
Palaonda;Via Galvani, 34;Bolzano;sunday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00;0471914813 0471913968;
Pista da ghiaccio Maso della Pieve;Via Maso della Pieve, 11;Bolzano;sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00;0471250598;
Pista da Pattinaggio sul Ghiaccio;Localit Dossi;Predaia;;0463536085 3385037536;
Polisportiva Pineta;Via Aldo Moro, 9;Laives;sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00;0471951633;
Progetto Lavaze' S.r.l.;Passo di Lavaze';Ville di Fiemme;;0462230447;
Sportbau S.r.l.;Ponte Ponte Adige, 43;Bolzano;;0471663158 0471631611;
Sportbau Srl Costruzione Impianti Sportivi;Via Castel Firmiano, 43;Bolzano;;0471663158 0471631611 0471631610;
Sportcenter;Via del Campo Sportivo, 16;Aldino;;0471886072;
Sportclub Federhofer;Via San Vigilio, 80/94;Bolzano;sunday: 09:30 - 16:00, tuesday: 09:30 - 22:00, wednesday: 09:30 - 22:00, thursday: 09:30 - 22:00, friday: 09:30 - 22:00, saturday: 09:30 - 22:00;3403570160 0471282804;
