name,address,comune,open_hours,phone_number,website
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
Centro Pilates e Gyrotonic,"Piazza del Duomo, 30",Trento,"sunday: 06:30 - 21:30, monday: 06:30 - 21:30, tuesday: 06:30 - 21:30, wednesday: 06:30 - 21:30, thursday: 06:30 - 21:30, friday: 06:30 - 21:30, saturday: 06:30 - 21:30",3398683083,
Centro Sportivo Di Trilacum,"Via 12 Settembre, 6",Trento,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0461866471,
Centro Sportivo Manazzon,"Via Fogazzaro Antonio, 2",Trento,"sunday: 09:00 - 19:00, monday: 09:00 - 13:00",0461924248,
Centro Sportivo O. Ceschi - Gabbiolo,"Via alla Cros, 10",Trento,,0461959812,
Centro sportivo Tione,"Localit Sesena, 5",Tione di Trento,,0465321023,
Centro Universitario Sportivo Trento Ass.Sp.Dilettantistica,"Via delle Regole, 101",Trento,"sunday: 09:00 - 18:00, monday: 09:00 - 13:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0461944356,
Circolo Ippico Castel Beseno,"Via Morini, 26",Calliano,"sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00",0464834483,
Circolo Ippico La Roccia,"Localit Pianiza, 33",Trento,"sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00",0461913143,
Circolo Tennis Grillo,"Via San Pio X, 117",Trento,"sunday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0461925234,
Circolo Tennis Ledro,"Localit Besta, 1",Ledro,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",3805235139,
Fly2fun Parapendio Biposto,Localit Sottodossi,Malcesine,,3349469757,
Golf Club Folgaria,Localit Maso Spilzi,Folgaria,,0464720480,
"Gym ""G. Pascoli""","Via Znojmo, 24",Trento,,0461992990,
Hotel Maroni,"Via Casarino, 1",Ledro,"sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00",0464508198,
Imperial Center,"Via Maccani Ezio, 88",Trento,,"3917414107, 0461262403",
Joyfitness Club,"Localit Acquaviva, 4",Trento,"sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00",3286165313,
Juta Center,"Via Galilei Galileo, 32",Trento,"sunday: 10:00 - 20:00, tuesday: 07:00 - 22:30, wednesday: 07:00 - 22:30, thursday: 07:00 - 22:30, friday: 07:00 - 22:30, saturday: 07:00 - 22:30","0461230797, 3887278568",
Madonna Bianca,"Via Bettini Angelo, 2",Trento,,0461390785,
Maestri di Sci e Snowboard Cristallo A.T.P.,"Localita' Vason, 110",Trento,,3806328814,
Maneggio H-Cadr,"Via Piave, 84",Ledro,,0464508292,
Navarini,"Via Filari Longhi, 2/A",Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Palafonte,"Piazza Giovanni XXIII, 7",Ala,,"0464672883, 3338386367, 0464671261, 3470021458, 0464670205",
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Palasport di Folgaria,"Via Nazioni Unite, 21/B",Folgaria,,0464720277,
Palestra Povo,"Via dei Masi, 6",Trento,,0461959812,
Piastra del ghiaccio di San Valentino,Localit Mosee,Brentonico,,"0464391602, 0464395149",
Piscina Acquambiez,Localit Promeghin,San Lorenzo Dorsino,"sunday: 09:00 - 13:00 / 15:00 - 21:00, monday: 09:00 - 13:00 / 15:00 - 21:00, tuesday: 09:00 - 13:00 / 15:00 - 21:00, wednesday: 09:00 - 13:00 / 15:00 - 21:00, thursday: 09:00 - 13:00 / 15:00 - 21:00, friday: 09:00 - 13:00 / 15:00 - 21:00, saturday: 09:00 - 13:00 / 15:00 - 21:00",0465730082,
Piscina Comunale Avio,"Viale De Gasperi, 27",Avio,,0464684288,
Piscina di Ala,Piazza Giovanni XXIII,Ala,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30",0464672682,
S.S. Buonconsiglio Nuoto,"Via Fogazzaro Antonio, 4",Trento,,"0461961625, 0461910464, 0461416164",
Tennis Club Ala Associaz.Sport.Dilettantistica,"Via dei Mille, 6",Ala,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",3403758921,
Tennis Club Associazione Sportiva Dilettantistica,Frazione Santa Croce,Bleggio Superiore,,3342925960,
Tennis Club Malcesine,"Via Sommavilla, 12",Malcesine,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","3516148134, 0456584136",
Trim,"Via Chini Eusebio, 99/1",Trento,"sunday: 09:00 - 12:30 / 14:30 - 18:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00","0461924604, 0461912600",
Vela Centro Sportivo,Localit Vela,Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
