Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
Carnevalab Pigiama Party in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/carnevalab-pigiama-party-in-biblioteca/414192-3-ita-IT/Carnevalab-Pigiama-Party-in-biblioteca.png|,"La biblioteca proponePIGIAMA PARTY&nbsp,IN BIMBOTECA&nbsp,&nbsp,BIBLIOTECA,VENERDÌ’ 9 FEBBRAIO 2024 H. 16.45-18.00, altro turno H. 18.00-19.15&nbsp,Con Zucca, Osso, Pelliccia, Gastone Musone,la Principessa dal sedere di fuoco e tantissimi amici festeggiamo il carnevalecon letture da ridere e laboratorio CARNEVALAB&nbsp,COSTUME D’OBBLIGO… IL PIGIAMA! &nbsp,&nbsp,Iniziativa gratuita per bambini dai 3 ai 10 anni i bambini inferiori ai 6 anni devono essere accompagnati da un adulto&nbsp,Illustrazione dalla copertina di “Zucca, Osso, Pelliccia di D. Calì e S. Martinuz- Nomos bambini",,09/02/2024,09/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna S. Gottardo : Villa Felicità,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-s.-gottardo-villa-felicita/414234-1-ita-IT/Rassegna-S.-Gottardo-Villa-Felicita.jpg|,Il 20 gennaio alle ore 20.45 la Filodrammatica Calliano presenta Villa Felicità commedia di G. Cattaneo.per info si veda l'allegata locandina,www.comune.mezzocorona.tn.it/content/download/44556/414236/rassegna teattrale 2024.pdf,20/01/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna S. Gottardo : I Mantenuti,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-s.-gottardo-i-mantenuti/414259-1-ita-IT/Rassegna-S.-Gottardo-I-Mantenuti.jpg|,"La Filodrammatica S. Gottardo presenta &quot,I Mantenuti&quot, di F. Kerschbaumeril 3 e il 4 febbraio h. 20.45.Per ulteriori info si veda il manifesto allegato",www.comune.mezzocorona.tn.it/content/download/44557/414261/rassegna teattrale 2024.pdf,03/03/2024,04/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna S. Gottardo: El convento del Santo Spirito,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-s.-gottardo-el-convento-del-santo-spirito/414284-1-ita-IT/Rassegna-S.-Gottardo-El-convento-del-Santo-Spirito.jpg|,La filodrammatica di Telve presenta la commedia El convento del Santo spiritoil 17 febbraio 2024 h. 20.45presso teatro san Gottardo.Per i dettagli si veda la locandina allegata,www.comune.mezzocorona.tn.it/content/download/44558/414286/rassegna teattrale 2024.pdf,17/02/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Arriva la grande sfilata di Carnevale a Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/arriva-la-grande-sfilata-di-carnevale-a-mezzocorona/414390-1-ita-IT/Arriva-la-grande-sfilata-di-Carnevale-a-Mezzocorona.jpg|,Si sta organizzando il carnevale dei ragazzi per la data 11.2.24.Tutte le info nella locandina allegata.,,11/02/2024,11/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
Giornata della memoria: un'occasione di riflessione in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/giornata-della-memoria-un-occasione-di-riflessione-in-biblioteca/416264-1-ita-IT/Giornata-della-memoria-un-occasione-di-riflessione-in-biblioteca.png|,"Un'occasione di riflessione in biblioteca per la Giornata della memoria.&quot,A quanti con fedeltà di soldati, sostennero durezza di lunga prigionia questa sintesi di travagli dedico, vincolo di solidarietà fiorita nel dolore, documento di fredda ferocia&quot,Capitano Marcello Tomadini I.M.I. 27487-XXAQuesta è la dedica del libro &quot,Venti mesi tra i reticolati” raccontati dall’artista Marcello Tomadini con 60 disegni originali, realizzati in modo estremamente realistico durante la prigionia nel lager tedesco di Sandbostel.Questo prezioso e rarissimo libro edito nel 1946 è stato donato alla biblioteca di Mezzocorona dalla sig.ra Ines Tarter, nipote di Lamberto Rossi, che fu uno dei compagni di prigionia dell’artista, promotori della stampa, nel gennaio 2020.In occasione della #giornatadellamemoria la pregevole pubblicazione nei giorni 25 e 26 gennaio viene messa a disposizione degli utenti che la possono sfogliare, leggere, guardare per un momento di riflessione al tavolino nero all'ingresso del primo piano.",,25/01/2024,26/01/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rassegna S. Gottardo: I mantenuti della Filo S. Gottardo di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-s.-gottardo-i-mantenuti-della-filo-s.-gottardo-di-mezzocorona/416458-2-ita-IT/Rassegna-S.-Gottardo-I-mantenuti-della-Filo-S.-Gottardo-di-Mezzocorona.jpg|,"Rassegna S. Gottardo: I mantenuti della Filo S. Gottardo di Mezzocoronaal gran debutto la commedia &quot,I mantenuti&quot, di Franco Kerschbaumer interpretata dalla filodrammatica di Mezzocorona nei giorni 3 e 4 febbraio alle 20.45 presso il teatro parrocchiale.",,03/02/2024,04/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
Inaugurazione ponte sospeso sul monte di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/inaugurazione-ponte-sospeso-sul-monte-di-mezzocorona/416483-1-ita-IT/Inaugurazione-ponte-sospeso-sul-monte-di-Mezzocorona.jpg|,"Venerdì 26 gennaio alle ore 12 infatti, inaugurazione del Ponte Sospeso in località Monte di Mezzocorona.",,26/01/2024,26/01/2024,,,,,,,,,,,Evento singolo,,,,,,,
Concerto a Palazzo al corso promosso dall'Associazione Castelli del Trentino,,var/mezzocorona/storage/images/turismo/calendario-eventi/concerto-a-palazzo-al-corso-promosso-dall-associazione-castelli-del-trentino/416868-1-ita-IT/Concerto-a-Palazzo-al-corso-promosso-dall-Associazione-Castelli-del-Trentino.jpg|,"Il giorno 8.2.24 alle 20.30 concerto presso Palazzo al Corso (sede della banda) alle ore 20.30 promosso dell'associazione Castelli de Trentino.&quot,Musica e voci nel romanticismo castellano dell'800&quot,Per i dettagli si veda la locandina allegata.",,08/02/2024,08/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
I mercoledì della farmacia Zanini: Basta con questi Farmaci?,,var/mezzocorona/storage/images/turismo/calendario-eventi/i-mercoledi-della-farmacia-zanini-basta-con-questi-farmaci/417046-1-ita-IT/I-mercoledi-della-farmacia-Zanini-Basta-con-questi-Farmaci.jpg|,"I mercoledì della farmacia Zanini ricominciano il 21.2.24 presso la sede di Via Romana 2/a a Mezzocorona con la conferenza&quot,Basta con questi Farmaci?&quot, dei dott.ri Cattani Sergio e Zanini Paolo",,21/02/2024,21/02/2024,,,,,,,,,,,Evento singolo,,,,,,,
