indirizzo,immagine,url,abstract_text,abstract,nome,lon,modifica,link,lat
da venerdì 22 marzo a domenica 03 aprile 2022 dalle 08.30 alle 22.00 Biblioteca civica Tartarotti,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/mostra66/1768376-1-ita-IT/Mostra.jpg,https://www.comune.rovereto.tn.it/openpa/object/136187,Mostra dalla fontana alla fonte,<p>Mostra dalla fontana alla fonte</p>,Dalla fontana alla fonte,11.044205,2022-03-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/136187,45.894171
lunedì 21 marzo 2022 dalle 17.00 alle 19.00  Sala conferenze Fondazione Caritro di Rovereto e online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-in-presenza-e-online4/1765865-3-ita-IT/Ciclo-di-conferenze-in-presenza-e-online.png,https://www.comune.rovereto.tn.it/openpa/object/136046,"Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,","<p>Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,</p>",La filosofia e le immagini: la sfida delle nuove tecnologie,11.043781,2022-03-07,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/136046,45.89106
lunedì 14 marzo 2022 dalle 18.00 alle 19.30 Ciclo di conferenze online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-su-piattaforma-zoom2/1763615-2-ita-IT/Ciclo-di-conferenze-su-piattaforma-Zoom.jpg,https://www.comune.rovereto.tn.it/openpa/object/135919,Ciclo di incontri  “Ma quanto erano forti le nostre antenate!”,<p>Ciclo di incontri  “Ma quanto erano forti le nostre antenate!”</p>,Ma quanto erano forti le nostre antenate,11.043781,2022-03-09,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135919,45.89106
giovedì 10 marzo 2022 dalle 17 alle 19 Sala conferenze Fondazione Caritro di Rovereto e online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-in-presenza-e-online3/1764914-1-ita-IT/Ciclo-di-conferenze-in-presenza-e-online.png,https://www.comune.rovereto.tn.it/openpa/object/135988,"Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,","<p>Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,</p>",La filosofia e la fisica: le sfide del mondo quantistico,11.043781,2022-03-01,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135988,45.89106
dall'8 marzo al 27 marzo 2022 dalle 9.00 alle 12.15 e dalle 15.00 alle 19.00 Nelle farmacie comunali,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/dona-un-farmaco-per-l-ucraina/1766185-1-ita-IT/Dona-un-farmaco-per-l-Ucraina.jpg,https://www.comune.rovereto.tn.it/openpa/object/136059,Raccolta solidale di farmaci,<p>Raccolta solidale di farmaci</p>,Dona un farmaco per l'Ucraina,11.040037,2022-03-25,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/136059,45.891714
sabato 5 marzo 2022 dalle 10.00 alle 10.45 e dalle 11.00 alle 11.45 Biblioteca civica Tartarotti - Spazio bambini,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-ad-alta-voce4/1763466-1-ita-IT/Letture-ad-alta-voce.jpg,https://www.comune.rovereto.tn.it/openpa/object/135914,Letture animate per bambini da 4 a 8 anni con Laura Mirone e Veronica Risatti,<p>Letture animate per bambini da 4 a 8 anni con Laura Mirone e Veronica Risatti</p>,Signor Maiale!,11.043681,2022-02-22,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135914,45.894049
giovedì 3 marzo 2022  dalle 17.00 alle 19.00  Sala conferenze Fondazione Caritro di Rovereto e online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-in-presenza-e-online2/1764663-1-ita-IT/Ciclo-di-conferenze-in-presenza-e-online.jpg,https://www.comune.rovereto.tn.it/openpa/object/135978,"Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,","<p>Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,</p>",La filosofia e la medicina: le epidemie nel Medioevo,11.043781,2022-03-01,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135978,45.89106
mercoledì 2 marzo 2022 dalle 20.00 alle 21.00 Su piattaforma ZOOM,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/webinar-esperienziale-gratuito15/1764349-2-ita-IT/Webinar-esperienziale-gratuito.png,https://www.comune.rovereto.tn.it/openpa/object/135961,Francesca Miceli Lilith propone una meditazione online gratuita,<p><strong>Francesca Miceli Lilith</strong> propone una meditazione online gratuita</p>,Luce sul cuore - Filo di Arianna,11.043673,2022-02-24,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135961,45.893237
lunedì 28 febbraio 2022 dalle 18.00 alle 19.30 Ciclo di conferenze online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-su-piattaforma-zoom/1763568-5-ita-IT/Ciclo-di-conferenze-su-piattaforma-Zoom.png,https://www.comune.rovereto.tn.it/openpa/object/135917,Ciclo di incontri  “Ma quanto erano forti le nostre antenate!”,<p>Ciclo di incontri  “Ma quanto erano forti le nostre antenate!”</p>,Ma quanto erano forti le nostre antenate,11.043781,2022-02-23,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135917,45.89106
sabato 19 febbraio e sabato 12 marzo 2022 dalle 18.30 Osservatorio Astronomico di Monte Zugna,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/serate-di-osservazione-sul-monte-zugna-con-gli-esperti-della-fondazione-museo-civico-di-rovereto/1761503-1-ita-IT/Serate-di-osservazione-sul-Monte-Zugna-con-gli-esperti-della-Fondazione-Museo-Civico-di-Rovereto.png,https://www.comune.rovereto.tn.it/openpa/object/135821,Serate di osservazione sul Monte Zugna con gli esperti della Fondazione Museo Civico di Rovereto,<p>Serate di osservazione sul Monte Zugna con gli esperti della Fondazione Museo Civico di Rovereto</p>,Le stelle del sabato sera,11.068806,2022-02-09,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135821,45.799643
sabato 19 febbraio 2022 dalle 10.00 alle 10.30 e dalle 10.45 alle 11.15 Biblioteca civica Tartarotti - Spazio bambini,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-ad-alta-voce2/1758850-1-ita-IT/Letture-ad-alta-voce.png,https://www.comune.rovereto.tn.it/openpa/object/135648,Letture ad alta voce per bambini da 1 a 3 anni a cura di Veronica Miorandi.,<p>Letture ad alta voce per bambini da 1 a 3 anni a cura di Veronica Miorandi.</p>,Basta una scatola. Storie di semplicità nel gioco.,11.043681,2022-01-26,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135648,45.894049
giovedì 17 febbraio 2022 dalle 17.00 alle 19.00 Sala conferenze Fondazione Caritro di Rovereto e online in modalità webinar Zoom,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/ciclo-di-conferenze-in-presenza-e-online/1761813-1-ita-IT/Ciclo-di-conferenze-in-presenza-e-online.jpg,https://www.comune.rovereto.tn.it/openpa/object/135837,"Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,","<p>Ciclo di conferenze &quot,La filosofia incontra gli altri saperi&quot,</p>",La filosofia e la storia: la paideia a Sparta e le sue riforme,11.043781,2022-02-11,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135837,45.89106
mercoledì 9 febbraio 2022 dalle 20.00 alle 21.00 Su piattaforma ZOOM,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/webinar-esperienziale-gratuito14/1760288-1-ita-IT/Webinar-esperienziale-gratuito.jpg,https://www.comune.rovereto.tn.it/openpa/object/135744,Francesca Miceli Lilith propone una meditazione online gratuita,<p><strong>Francesca Miceli Lilith</strong> propone una meditazione online gratuita</p>,La luce infondo al tunnel - Filo di Arianna,11.043673,2022-02-03,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135744,45.893237
sabato 5 febbraio 2022 dalle 10.00 alle 10.45 e dalle 11.00 alle 11.45 Biblioteca civica Tartarotti - Spazio bambini,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-ad-alta-voce3/1758917-1-ita-IT/Letture-ad-alta-voce.jpg,https://www.comune.rovereto.tn.it/openpa/object/135650,Letture animate per bambini da 4 a 8 anni con Laura Mirone e Veronica Risatti,<p>Letture animate per bambini da 4 a 8 anni con Laura Mirone e Veronica Risatti</p>,Il carnevale dei topi.,11.043681,2022-01-27,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135650,45.894049
Venerdì 04 febbraio 2022 dalle 18.00 Biblioteca civica Tartarotti,https://www.comune.rovereto.tn.it/var/rovereto/storage/images/applicazioni2/openagenda/eventi/letture-e-approfondimento-sulla-comunicazione-aumentativa-e-alternativa/1759213-1-ita-IT/Letture-e-approfondimento-sulla-Comunicazione-Aumentativa-e-Alternativa.jpg,https://www.comune.rovereto.tn.it/openpa/object/135675,Letture e approfondimento sulla Comunicazione Aumentativa e Alternativa,<p>Letture e approfondimento sulla Comunicazione Aumentativa e Alternativa</p>,Una storia fantastica - CAA,11.043681,2022-01-27,http://www.comune.rovereto.tn.it/api/opendata/v2/content/read/135675,45.894049
