remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
5e27cc3aca952d4d367eb7033aeb8fa8,2024-03-14T16:56:37+01:00,2024-03-15T09:21:45+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – CONSERVATORIO DI TRENTOStudenti del Conservatorio Bonporti di TrentoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
ddd535dfdb50a14ce35c7d4aa38f0a58,2024-03-14T17:17:33+01:00,2024-03-15T09:25:27+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
VIOLINO E PIANOFORTESilvano Minella, violino – Flavia Brunetto, pianoforteMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
eb5ff18ba641607d0dc0caf4552b2361,2024-03-14T17:24:40+01:00,2024-03-15T09:26:32+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
RECITAL PIANISTICOAntonio di Cristofano, pianoforteMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
545d6687a45a61e6d337a9937a48ca28,2024-03-14T17:15:03+01:00,2024-03-15T09:24:34+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
VARIAZIONI GOLDBERGEdoardo Bruni, pianoforteMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
2542678e02c218699682100294dee1ee,2024-03-14T17:29:59+01:00,2024-03-15T09:28:01+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
T.T.T. – TRENTINO TIROLO TRANSILVANIA
Renato Morelli, fisarmonica – Rossana Caldini, violino – Belinda Miggitsch, clarinettoAndrea Ruocco, contrabbasso – Matteo Scalchi, chitarra e mandolinoMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Famiglie,Anziani",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
22b55ae1fb0e539dee89a1e53b9fd945,2024-03-14T17:34:49+01:00,2024-03-15T09:29:13+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – QUARTETTO DEGLI ELEMENTILiliana Sommariva, voce – Luca Olzer, pianoforte – Andrea Ruocco, contrabbasso – Alessandro Ruocco, batteriaMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
27e29a540d1f028a23501e2a2c57bb95,2024-03-14T17:44:43+01:00,2024-03-15T09:30:18+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
SOUNDTRACK &amp; TANGOMassimo Turrini, violino – Rossana Caldini, violino – Giorgia Postinghel, violoncello – Stefano Colpi, contrabbasso
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
253b120eaa78c143a6280c77ce1bea7a,2024-03-14T17:42:37+01:00,2024-03-15T09:29:40+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – CONCORSO ANDREA BALDIVincitore della XIII edizione del concorso pianistico internazionale “Andrea Baldi”
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
0f6c81cfab367a575375b495bcb02320,2024-03-14T17:32:26+01:00,2024-03-15T09:28:36+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
VIAGGIO IN EUROPAGiacomo Dalla Libera, pianoforteMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
4c7b762e6574e438350b9435fa791b7b,2024-03-14T18:09:56+01:00,2024-03-15T09:33:21+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
MUSICA E POESIAIvana Maria Vidovic, pianista e poetessa (CROAZIA)
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Famiglie,Anziani",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
78d45df8bcf2b9208b97f1821ffe06b4,2024-03-14T17:48:45+01:00,2024-03-15T09:31:20+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
GIOVANI TALENTI – CONSERVATORIO DI TRENTOStudenti del Conservatorio Bonporti di Trento
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Ingresso gratuito con offerta libera.,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
