name,startData,endDate,location,municipality,lat,lon,organization,guests
Un sogno a cinque cerchi ,,,Centro Congressi Lavarone ,Lavarone,,,,"Christian Seneca, Gianluigi Toigo, Lara Naki Gutmann, Sofia Groblechner, Jerta, Jolanda Schir"
S.P.A.L. - TNT MONTE PELLER,18/7/19 18:00,,c,Mezzana,,,S.P.A.L. CALCIO,
S.P.A.L. - ROTALIANA,25/7/19 18:30,,Centro Sportivo di Mezzana,Mezzana,,,S.P.A.L. CALCIO,
Hockey su ghiaccio: Fassa Falcons vs. EHC Lustenau,,,Stadio G. Scola di Alba di Canazei,Moena,,,Alps Hockey League,
Incontro con la Nazionale femminile di Volley del Pakistan,,,Sala comunale ex Galetera,Mori,,,,"Alessandra Campedelli, Malika Zartaj Junaid,Barozzi Stefano, Mazzucchi Nicola"
MARCIALONGA CRAFT,,,"Palazzo del Municipio, Predazzo",Panchià,,,,
Notturna Castel Romano - Gara di ciclismo,,,Palazzo del Municipio,Pieve di Bono-Prezzo,,,,
Open Day Aquaclub Valle del Chiese,20/7/24 14:00,20/7/24 18:00,Sede E.S.Co. BIM e Comuni del Chiese S.p.A.,Pieve di Bono-Prezzo,,,,
Escursione nel gruppo del Cadria,11/8/24,,Monte Nozzolo,Pieve di Bono-Prezzo,,,,
5° Torneo Memorial in ricordo di Fabio e Federico (categoria Under17),25/9/24 18:15,,Campo sportivo di Creto,Pieve di Bono-Prezzo,,,US Pieve di Bono,
Un sogno a cinque cerchi,12/11/19 18:00,,Via Ardaro 38066 Riva del Garda,Riva del Garda,45.890194,10.840497,Comunità di Valle Alto Garda e Ledro,"Renato Dionisi, Martina Ambrosi, Lara Naki Gutmann, Alessandro Daldoss, Gianluigi Toigo, Hotmar Segreto"
MarteRun,21/7/24 17.30,,Chiesa di Santa Margherita,Roncegno Terme,,,Unione Sportiva Marter,
Un sogno a cinque cerchi,13/11/24 20:30,,Teatro parrocchiale di Cembra,Segonzano,46.174051,11.218865,Comunità della Valle di Cembra,"Jessica Tomasi, Enrico Simoni, Michele Pasquazzo, Gianluigi Rosa, Melania Corradini"
CAMMINARE IN FAMIGLIA 2024,16/6/24 9.00,16/6/24 17.30,Casa del Parco loc. Pracul - Valdaone,Sella Giudicarie,,,,
La Desmalgada - passeggiata naturalistica,8/9/24 8.30,8/9/24 11.30,loc. Boniprati,Sella Giudicarie,,,,
70 ANNI DI SPORT,18/8/24,,"Centro Sportivo """"Mario Formolo""""""",Sporminore,,,U.S. Robur Sporminore,
Sagra di San Vigilio - calcio acquatico + beach volley,22/6/24,,Chiesa di San Vigilio,Stenico,,,Pro Loco Stenico,
Albe in Dolomiti,,,Rifugio Monte Agnello,Tesero,,,,
Marcialonga,28/1/24,,Centro fondo Lago di Tesero,Tesero,,,,
Marcialonga Stars,,,Centro fondo Lago di Tesero,Tesero,,,,
Marcialonga Story,,,Centro fondo Lago di Tesero,Tesero,,,,
Serate di ballo liscio con musica dal vivo,2/10/24 20:30,,Teatro Valle dei Laghi,Vallelaghi,,,,
Serate di ballo liscio con musica dal vivo,5/11/24 20:30,,Teatro Valle dei Laghi,Vallelaghi,,,,
Serate di ballo liscio con musica dal vivo,4/12/24 20:30,,Teatro Valle dei Laghi,Vallelaghi,,,,
Sagra dei Portoni di Fraveggio,31/5/24 16:00,,Fraveggio,Vallelaghi,,,,
