sport,name,location,date,guests
Automobilismo,"MOTORSPORT ACADEMY, IL FUTURO DELLE DUE RUOTE","{'name': 'Piazza Dante Beta Officina Motori', 'address': 'Piazza Dante'}",2024-10-13 15:30:00,['Carlo Da Rold']
Baseball,LITALIA NEL MITO DELLA MLB,"{'name': 'Palazzo Geremia', 'address': 'Via Rodolfo Belenzani, 20 Trento, TN'}",2024-10-11 19:30:00,"['Sameul Aldegheri', 'Faso', 'Mike Piazza']"
Basket,VOLONTARI PER SPORT,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-11 10:00:00,"['Bruno Cerella', 'Franco Ianeselli', 'Clemente Russo']"
Basket,"LIBRI DI SPORT: L'ABC DEL BASKET
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-11 10:30:00,['Dan Peterson']
Basket,UNALTRA PARTITA COMUNIT IN CAMPO,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-11 17:00:00,"['Toto Forray', 'Massimo Komatz', 'Luigi Longhi']"
Basket,"MENEGHIN, SCOLA E GANDINI: IL BASKET CHE CI LEGA","{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-11 19:00:00,"['Umberto Gandini', 'Dino Meneghin', 'Luis Scola']"
Basket,FESTIVAL LEGENDS BASKET 3X3,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-12 10:30:00,"['Marcella Filippi', 'Giacomo Galanda', 'Denis Marconato', 'Michele Mian', 'Kathrin Ress', 'Rodolfo Rombaldoni']"
Basket,DEJAN BODIROGA: IL MIO BASKET TOTALE,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-12 12:00:00,['Dejan Bodiroga']
Basket,AQUILA BASKET TRENTO MEET&GREET,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-12 16:30:00,[]
Basket,GIANMARCO POZZECCO: TIRO LIBERO,"{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-12 18:00:00,['Gianmarco Pozzecco']
